,Job title,Company name,Job description,Job location,Salary,Job type,Category,Salary type,Average annual salary,Average hourly salary
123,HRIS Analyst,Sight Growth Partners,Maintains Payroll and People services systems data.3 years Human Resources experience; healthcare industry experience preferred.,"Hybrid remote in Hauppauge, NY 11788",70000 - 75000 a year,Full-time,analyst,year,72500.0,
124,"Sr. Analyst, Website Analytics",Razorfish,"Partner with internal cross-functional teams to develop, evolve, and interpret new ways of looking at and analyzing data.","New York, NY 10014 (SoHo area)",84500 - 116000 a year,Full-time,analyst,year,100250.0,
125,Senior Data Analyst - Laser Measurement Data,Softinc,Track Geometry Cars' data: 8 years (Required).Be familiar with data being collected by *Track Geometry cars to measured platform gauge and platform height…,"New York, NY 11201 (DUMBO area)",Estimated 85900 - 109000 a year,Contract,data analyst,year,97450.0,
126,Business Analyst Data Business Partner,Barclays,"Defining data models based on metadata requirements, ensuring that data change is strategic, efficient and maintains integrity.","Hybrid remote in Whippany, NJ 07981",Estimated 104000 - 132000 a year,,business analyst,year,118000.0,
127,Senior Budget Analyst,NYC Careers,"Obtain, track, record, and analyze data.Education and/or experience which is equivalent to ""1"" or ""2"" above.Education and/or experience which is equivalent to…","Brooklyn, NY 11201",80000 a year,Full-time,analyst,year,80000.0,
128,Data Quality Analyst,Jewish Family Service of Metrowest,"Knowledgeable and experienced in data analysis such as data quality, reference data, etc.Monitor, implement, and update forms and data entry as part of a…","Florham Park, NJ 07932",65000 - 70000 a year,,analyst,year,67500.0,
129,"Graduate Specialist Technology, Analytics & Research (STAR) Analyst (Available 2024)",Arup,"Familiarity with interpretation and quantitative analysis of weather and climate data, including an understanding of climate science, climate change models, and…","New York, NY",74000 - 81000 a year,,analyst,year,77500.0,
130,Reporting and Business Intelligence Lead,Centers Plan for Healthy Living,"Knowledge of SQL, data structures or a programming language.Well-developed problem solving and analytical skills with a focus on data aggregation.","Staten Island, NY 10304",70000 - 85000 a year,Full-time,business intelligence,year,77500.0,
131,Talent Acquisition Data Analyst,RWJBarnabas Health,"Minimum of 3 years of experience capturing, analyzing and interpreting talent acquisition data.Conducts regular or ad hoc audits in the Applicant Tracking…","Oceanport, NJ 07757",NaN,Full-time,data analyst,,,
132,Financial Analyst,Ipsos,1 – 3 years’ experience in corporate finance/FP&A.Data savvy with a strong attention to detail and accuracy.This could not be fulfilled without Ipsos’ diverse…,"New York, NY",63000 - 72000 a year,,financial analyst,year,67500.0,
133,Junior Business Analyst,Kiss Products,"Strong data analysis skills - ability to identify, analyze and integrate various large complex data sources (Internal and external data providers) into a…","Port Washington, NY",21.50 - 39.75 an hour,Full-time,business analyst,hour,,30.625
134,Scientist/LIMS Data Analyst,Bristol Myers Squibb,"Review of data entry, run queries, compile summaries for tests and data in PDLIMS.Any data processed in connection with role applications will be treated in…","New Brunswick, NJ 08901",NaN,,data analyst,,,
135,Data Management Analyst (BI),"Rising Ground, Inc","Advanced knowledge and experience with data modeling, database design, data architecture and data analysis.Analyzing and resolving cross-functional data issues…","Brooklyn, NY 11201",65000 - 70000 a year,Full-time,analyst,year,67500.0,
136,Revenue Operations Business Analyst,Hibob,"Communicate insights effectively to stakeholders using data visualization tools.Ability to document data models, business processes and visual workflows.","Hybrid remote in New York, NY",100000 - 120000 a year,,business analyst,year,110000.0,
137,"Principal, Data Analyst",Walmart,"Option 3: 6 years' experience in data analysis, data science, statistics, or related field.7-10 years data analytics background with market research data.","Hoboken, NJ 07030",108000 - 216000 a year,Full-time,data analyst,year,162000.0,
138,Business Data Analyst (CCAR),Genpact,"Identifying conceptual business rules for detecting data inconsistencies and monitoring data quality.Documenting the source-to-target flow of data, including…","Remote in New York, NY",52347 - 123672 a year,Full-time,business analyst,year,88009.5,
139,Analyst - Labor Contracts Analysis,NYC Careers,Ability to use advanced Excel formulas and to analyze large data sets.The Labor Contract Analysis Task Force gathers research and analyzes data for use by City…,"Manhattan, NY 10007 (Financial District area)",51550 - 73806 a year,Full-time,analyst,year,62678.0,
140,IT Analyst II - Solutions Development (ON SITE),NYU Langone,"NYU Langone Health is a world-class, patient-centered, integrated academic medical center, known for its excellence in clinical care, research, and education.","New York, NY",61476 - 79761 a year,Full-time,it analyst,year,70618.5,
141,Associate - Data Analysis and Special Projects,New York Life Insurance Co,Convert participant-level census data into a consistent format for use in pricing models.The primary responsibilities of the Associate will consist of setting…,"Hybrid remote in Jersey City, NJ",58500 - 77500 a year,,,year,68000.0,
142,Business Analyst || NYC ONSITE || Contract Role,Valsatech Corp,"This is regarding to a position of a Business Analyst.Client is New York City Dept. of Social Services*.Interview Will be between October 19, 2023 to November…","Bronx, NY 10474 (Hunts Point area)",60 - 65 an hour,Full-time,business analyst,hour,,62.5
143,Business Analyst,Intone Networks,The selected candidate will work closely with the product owner to: • Prioritize & manage product backlog • Understand customer/user needs to define clear…,"Brooklyn, NY 11249 (Chelsea area)",55 an hour,Contract,business analyst,hour,,55.0
144,Data Analyst,William Paterson University of New Jersey,Knowledge of data visualization techniques.Experience with data governance a plus.Responds to internal data requests from campus stakeholders.,"Remote in Wayne, NJ 07470",Estimated 68300 - 86500 a year,Full-time,data analyst,year,77400.0,
145,Digital Technology Services (DTS) Lead Data Analyst,Hackensack Meridian Health,Translate data needs of the business and work with data engineers or architects to build processes and tools that help automate effective data delivery and…,"Edison, NJ 08837",NaN,Full-time,data analyst,,,
146,Business Analyst,NMG Technology Services,Analyze customer feedback and data to identify important issues that need to be addressed.Excellent verbal and written communication skills and great attention…,"Hybrid remote in Brooklyn, NY 11201",33.76 - 40.66 an hour,Contract,business analyst,hour,,37.209999999999994
147,"Graphic Designer, Data Visualization",Insider Intelligence,"Proficiency in data visualization tools such as Datawrapper, Flourish or Tableau.Experience at a consultancy or digital publisher, designing and building data…","Remote in New York, NY",70000 - 85000 a year,,,year,77500.0,
148,Business Technical Analyst (Data),eTeam Inc.,Experience or demonstrated interest in handling large data sets.Steps include gathering and vetting business requirements (speaking with stakeholders to…,"Jersey City, NJ",65 - 70 an hour,Contract,analyst,hour,,67.5
149,Senior Data Analyst,Columbia University,Experience with quantitative data management and analysis.The successful candidate will join this diverse multi-disciplinary team and function as a dry lab…,"New York, NY",90000 - 110000 a year,Full-time,data analyst,year,100000.0,
150,Data Privacy Analyst,Adswizz,Oversee processes for fulfilling data subject access requests; work with IT owners of the privacy compliance operational tool and data systems to maintain…,"Remote in New York, NY",81500 - 107700 a year,Full-time,analyst,year,94600.0,
151,Digital Analyst,accelerate360,Ability to work with multiple disparate data sources and data types.Proficiency in quantitative data analysis.,"Hybrid remote in New York, NY 10005",85000 - 95000 a year,,digital analyst,year,90000.0,
152,FCC Systems and Data Analyst,CFSB,"Proven experience (minimum 2 years) as data analyst or similar role within the financial services industry.Collaborate with IT teams to enhance data quality,…","New York, NY 10001 (Chelsea area)",60000 - 80000 a year,Full-time,data analyst,year,70000.0,
153,Business Analyst,New York University,"This position oversees the management of data integrity, provides training, and creates documentation.Ability to diagnose & troubleshoot system errors with…","Hybrid remote in New York, NY 10012",73800 - 90200 a year,Full-time,business analyst,year,82000.0,
154,Strategic Business Analyst,Sol de Janeiro,Must be able to work a hybrid schedule (remote & 1-3 days / week in our New York City office).Balances attention to detail with understanding of the big…,"Hybrid remote in New York, NY",100000 - 110000 a year,,business analyst,year,105000.0,
155,Energy Analyst,NYC Careers,Leverage data science algorithms to uncover hidden insights.Create interactive dashboards that facilitate data-driven decision-making.Posted on: 09/26/2023.,"New York, NY 10007 (Lower East Side area)",,,analyst,,,
156,Digital Evidence Analyst,New York County District Attorney's Office,"Review various formats of cell phone data, assist with cell site mapping, perform call detail record analyses.Position Title: Digital Evidence Analyst.","New York, NY 10013 (Chinatown area)",,,analyst,,,
157,Business Development Analyst - Equity Analyst Due Diligence,Millennium Management LLC,Analyze data pertinent to candidates and candidate processes to increase efficacy with identifying and measuring talent.,"New York, NY",,,analyst,,,
158,Data Management Reporting and Analytics Specialist,"Natural Resources Defense Council, Inc.",Perform data integrity reporting to identify and resolve root cause data quality and process issues.Develop and maintain oversight of data architecture…,"New York, NY 10011 (Flatiron area)",,,analyst,,,
159,Financial Strategy and Planning Analyst,DocGo,"Conduct data analysis in Tableau (BI Tool), on operational performance.The above-noted job description is not intended to describe, in detail, the multitude of…","New York, NY 10001 (Garment District area)",,,analyst,,,
160,Junior Business Analyst,First Notch Technology LLC,Proficiency in using analytics tools and techniques to interpret data and generate insights.Analyze data and provide insights to support decision-making and…,"Hybrid remote in Carteret, NJ 07008",,,business analyst,,,
161,"Sr. Analyst, Forecasting & Analytics",Ross Stores,Leverage Power BI and other reporting and data visualization tools to present dashboards and analyze data in support of demand planning and forecasting.,"New York, NY 10018 (Clinton area)",95000 - 120000 a year,,analyst,year,107500.0,
162,WMO Analyst,NYC Careers,OHR is seeking a data-driven and detail-orientated individual to serve as a Workforce Management Operations (WMO) Analyst.Agency: ADMIN FOR CHILDREN'S SVCS.,"Manhattan, NY",,,analyst,,,
163,Business Data Analyst (CCAR),Genpact,"Identifying conceptual business rules for detecting data inconsistencies and monitoring data quality.Documenting the source-to-target flow of data, including…","Remote in New York, NY",,,business analyst,,,
164,Retail Services Data Analyst,United Nations Federal Credit Union,Assist management in identifying data sources and obtaining data for the analysis of trends related to deposit growth.Quality conscious and detail oriented.,"Long Island City, NY 11101",,,data analyst,,,
165,Actuarial Data Strategy Analyst - Remote,DW Simpson,"As an Actuarial Data Strategy Analyst, you will implement data requirements for LDTI accounting, drive automation of processes, and serve as a liaison between…","Remote in New York, NY 10119",125000 a year,,analyst,year,125000.0,
166,Data Analyst,Saint Peter's University,"Data analysts are responsible for analyzing data using statistical techniques, implementing and maintaining databases, gathering data from primary and secondary…","Jersey City, NJ 07306 (McGinley Square area)",Estimated 60700 - 76800 a year,Full-time,data analyst,year,68750.0,
167,Lead Business Intelligence Analyst - Epic,NewYork-Presbyterian Hospital,"Strong understanding of data design, architecture, relational databases and data modeling.Performing analysis on various Epic data models; defining and…","Manhattan, NY 10065 (Upper East Side area)",127000 - 182500 a year,Full-time,business intelligence analyst,year,154750.0,
168,Junior HR Data Analyst,Rutgers University,"Demonstrates expertise in data analysis and using Excel.Knowledge of data analytics, validation, and integrity.Department UHR Info Systems & Technology.","New Brunswick, NJ 08901",NaN,Temporary,data analyst,,,
169,Data Analyst,Fusion Transport LLC,Proficiency with Microsoft Excel is mentioned in virtually any financial analyst job description; familiarity with data query/data management tools is extremely…,"Rutherford, NJ 07070",Estimated 66200 - 83900 a year,Full-time,data analyst,year,75050.0,
170,IT Business Analyst,NYC Careers,"Perform data analysis by querying relational databases using SQL and Microsoft Excel.A baccalaureate degree from an accredited college, and eight years of…","Manhattan, NY 10004 (Financial District area)",75000 - 160000 a year,Full-time,it business analyst,year,117500.0,
171,Senior Analyst Voice of Customer,Altice USA,Understand data sets within the Data Services Enterprise Data platform and other systems.You come with an understanding of customer feedback and experience…,"Long Island City, NY 11101",75750 - 121199 a year,,analyst,year,98474.5,
172,Performance Analyst,Talent Team,"Support Development through providing data for foundation reports and requests.The ideal candidate will have a mix of technical knowledge, program/data…","Hybrid remote in Brooklyn, NY 11201",55000 a year,Full-time,analyst,year,55000.0,
173,QI Analyst Health Services,FORESTDALE INC.,"Analyze data, records, and reports to monitor performance.1-3 years’ experience working in the area of health services provision to children, youth and…","Forest Hills, NY 11375",81000 - 95000 a year,Full-time,analyst,year,88000.0,
174,"SQL Data Analyst, Financial Services","Berkeley Research Group, LLC",Work directly with senior staff to develop new data analytics tools and products.Business analysts (user requirement development / user acceptance testing);,"New York, NY",100000 - 140000 a year,Full-time,data analyst,year,120000.0,
175,Data Analyst - Banking,Kearny Bank,Coordinate survey data collection and processing.Experience with SQL reporting and/or tabular data.Discover and investigate data patterns that require further…,"Fairfield, NJ 07004",Estimated 79900 - 101000 a year,Full-time,data analyst,year,90450.0,
176,Financial Data Analyst,NewYork Staff search,Collaborate with the internal Master Data Management (MDM) team to ensure alignment of agency and advertiser data across all systems.,"Hybrid remote in New York, NY 10019",60000 - 75000 a year,Full-time,financial analyst,year,67500.0,
177,Legal Data Analyst - Case Analysis (INDG),Bloomberg,"Participate in data tagging and evaluation of model outputs as well as user acceptance testing.We apply our robust legal domain knowledge, project management…","New York, NY 10261",90000 - 105000 a year,,data analyst,year,97500.0,
178,"Sales Operations Analyst, GFS - Field Sales Ops","Amazon Web Services, Inc.","The right candidate will seek to improve sales productivity through complete, reliable and relevant data analyses.BS/BA degree or equivalent experience.","New York, NY",From 70400 a year,Full-time,operations analyst,year,70400.0,
179,Finance Analyst,Digitas,"Generate system reports and analyze data to provide commentary.1-3 years of experience in Finance or Accounting, including familiarity with the digital…","Hybrid remote in New York, NY 10014",46500 - 67500 a year,Full-time,analyst,year,57000.0,
180,Senior Business Intelligence Specialist,Duolingo,"Expertise in data visualization tools such as Tableau or Data Studio for full-stack data analysis, insight synthesis, and presentation.","New York, NY",139200 - 259900 a year,,business intelligence specialist,year,199550.0,
181,Intelligence Analyst,Nassau County District Attorney's Office,"Interpret and synthesize data into investigative reports, graphic presentations of data, charting of events, and other illustrative devices for visual…","Mineola, NY",62000 a year,,analyst,year,62000.0,
182,"Business Analyst, Senior Associate",New York Life Insurance Co,Prioritize projects and rationalize data products and downstream reports and other data dependencies.Experience in business and data analytics.,"Hybrid remote in New York, NY",90000 - 135000 a year,,business analyst,year,112500.0,
183,Quality Data Analyst,"University Hospital, Newark NJ",Carries out data management responsibilities for clinical data that are needed to fulfill the organizational quality improvement plan and to meet regulatory…,"Newark, NJ 07103 (University Heights area)",NaN,Full-time,data analyst,,,
184,Business Analyst - Summit Trading,FD Technologies,Converting files by python from parquet to psv to perform complete regression analysis of all data sets in Summit v6.1.,"New York, NY 10006 (Financial District area)",110000 - 130000 a year,Full-time,business analyst,year,120000.0,
185,Performance Analyst,Children's Aid,Manage and analyze data in an applied setting.Advise leadership on how to collaboratively advance data-driven culture.,"Manhattan, NY 10027 (Hamilton Heights area)",50000 - 65000 a year,,analyst,year,57500.0,
186,"Operations Analyst (Sales, Supply Chain and Marketing)",Efficient Business Solutions Inc.,"As an Operations Support Specialist you will be responsible for processing customer contracts and maintaining price agreements, analyze market performance data,…","Manhattan, NY",67814 - 75241 a year,Full-time,operations analyst,year,71527.5,
187,Regulatory Compliance Analyst - Investigations & Data Analysis,NJ Transit,"Creates, tracks and maintains internal databases and reports regarding departmental and company-wide compliance initiatives, and produces reports analyzing…","Newark, NJ 07105 (Ironbound area)",Estimated 89000 - 113000 a year,,analyst,year,101000.0,
188,"Hepatitis/HIV Surveillance Analyst, Bureau of Hepatitis, HIV, and STI",NYC Careers,"The Hepatitis/HIV and Enhanced Surveillance data analyst will oversee hepatitis/HIV surveillance, provide data support for all enhanced surveillance,…","Queens, NY 11101",82506 - 94882 a year,Full-time,analyst,year,88694.0,
189,Junior HR Data Analyst,Rutgers University,"Demonstrates expertise in data analysis and using Excel.Knowledge of data analytics, validation, and integrity.Home Location Campus Cook (RU-New Brunswick).","New Brunswick, NJ 08901",NaN,Temporary,data analyst,,,
190,Senior Digital Data Analyst,MRM - MRM WW,"Digital proficiency: Lead digital analytics projects and ensure the whole cycle of data (data sourcing, data visualization, data analytics and data…","Princeton, NJ",NaN,Full-time,data analyst,,,
191,Energy Analyst,Queens Public Library,"Working with internal departments including Capital Projects, Information Technology, Security and Library Services and external stakeholders including NYC’s…","Queens, NY",From 67049 a year,Full-time,analyst,year,67049.0,
192,Data Analyst,TickPick,"Collaborate with the finance and development teams to ensure consistent data integrity amongst various data sources, oversee successful data integration of…","New York, NY",105000 - 120000 a year,Full-time,data analyst,year,112500.0,
193,Data Analyst/Visualizer,M. T. Maritime Management USA LLC,"Consume data to produce reports and analysis.Communicate with various teams to develop data and report requirements.Experience with Board, Tableau, Power BI.","Southport, CT 06890",NaN,Full-time,data analyst,,,
194,Tableau Experienced Business Analyst / Data Analyst,NEW JERSEY TURNPIKE AUTHORITY,"Working experience as a data analyst and/or business data analyst a must.Acquire data from various data sources; primary, secondary, or tertiary, and maintain…","Woodbridge, NJ 07095",From 73000 a year,Full-time,business analyst,year,73000.0,
195,Client Optimization Analyst,Optimatum Group LLC,"Strong ability to manage and analyze data, think strategically, present effectively.Conduct in-depth analysis of HR related data (Self-Insured Plan Costs,…","New York, NY",75000 - 125000 a year,Full-time,analyst,year,100000.0,
196,Data System Analyst,Mondelēz International,"Work closely with other data analysts, data scientists, and other stakeholders to implement and maintain data solutions.Proficiency in data modeling tools.","East Hanover, NJ",78 an hour,Full-time,analyst,hour,,78.0
197,Jr. Business Analyst training and placement,Precision Technologies Corp,A minimum of 5 years of experience in business analysis or a related field.You will work alongside other business analysts and report directly to the project…,"Monmouth Junction, NJ 08852",35 - 50 an hour,Contract,business analyst,hour,,42.5
198,Data Analyst II,RWJBarnabas Health,"Experience with analysis of data required,.Provide data management for clinical trials and research projects by entering data and submitting to company…","Newark, NJ 07112 (Weequahic area)",NaN,Full-time,data analyst,,,
199,Marketing Technology Analyst,Unilever,Partner with other analysts & audience specialists to support best in-class marketing ecosystem and data infrastructure.,"Englewood Cliffs, NJ",83200 - 124700 a year,,analyst,year,103950.0,
200,Enterprise Accounts Business Analyst,B&H Photo,"B&H offers competitive salaries, medical benefits, a 401K plan, employee discounts and opportunities to grow within a high-energy, low-attitude environment.","New York, NY 10001 (Hell's Kitchen area)",65000 - 81000 a year,Full-time,business analyst,year,73000.0,
201,"2024 Co-op - Supply Chain Management, Business, Data Analytics or Related Majors",Regeneron Pharmaceuticals Inc.,Participating in professional development sessions while enjoying lots of free food and swag.Showcasing the knowledge you gained through end of program…,"Tarrytown, NY",NaN,Full-time,analyst,,,
202,Business Analyst - WPHPA,White Plains Hospital,Assists with development and maintenance of financial reports; and additional tasks as required.A copy of the SDS data base can also be found at the.,"White Plains, NY 10601",69257.57 - 103897.17 a year,Full-time,business analyst,year,43307.0,
203,Assistant Marketing Data Analyst,HomeServe USA,"The right people for our team (1) care about what we do, the people on our teams, and the customers we serve, (2) are open and honest when communicating, (3)…","Norwalk, CT 06851",60290 - 80386 a year,Full-time,data analyst,year,70338.0,
204,Office of the Inspector General - Senior Staff Auditor Analyst,Metropolitan Transportation Authority,"Minimum of 3 years of experience, in the fields of performance auditing, evaluation, oversight, data analysis or a project management-focused field.","New York, NY 10001 (Garment District area)",69573 - 86967 a year,Full-time,analyst,year,78270.0,
205,System Analyst,"Consolidated Edison Company of New York, Inc.","Building non-complex queries to collect and analyze data.Support the team in its overall objectives, including FDA solution delivery and fraud data analytics.","New York, NY 10003 (Gramercy area)",80000 - 100000 a year,Full-time,analyst,year,90000.0,
206,Spatial Data Analyst,The Fedcap Group,Work collaboratively with ReServe leadership to effectively supervise other data analysts.Minimum of 2 years’ data analyst experience through Excel and GIS…,"New York, NY",58500 a year,Full-time,data analyst,year,58500.0,
207,Lead Data Analyst -- Infant & Early Childhood Mental Health (Part-Time),Association to Benefit Children,3+ years of experience performing data analytics in human service work with multiple data information systems.Job Type:* Part-time (20 hours/week).,"New York, NY",40000 a year,Part-time,data analyst,year,40000.0,
208,Business Data Analyst,eTeam Inc.,Mining various data sources and or providing visualization and analysis of complex data structures.Experience mining various data sources and or providing…,"Basking Ridge, NJ 07920",,Contract,business analyst,,,
209,Workforce Analyst,Meta,"8+ years experience working as a data analyst, or similar role.Experience with data and building things - making cohesive reports and structuring data.","New York, NY",146000 - 205000 a year,,analyst,year,175500.0,
210,Data Analyst/Visualizer,M. T. Maritime Management USA LLC,Consume data to produce reports and analysis.Communicate with various teams to develop data and report requirements.This is a temporary to permanent position.,"Southport, CT 06890",,Full-time,data analyst,,,
211,Support Analyst - Onboarding and Training,Harris Computer Systems,A preference will be given to candidates with proven skills in exploring transactional data using MySQL.The Customer Support Analyst will work five 8-hour days…,"New York, NY",50000 - 65000 a year,Full-time,analyst,year,57500.0,
212,Technical Business Analyst,Michael Page,The Business Analyst will have:Experience working with SQL and FIX protocol.Experience working in Financial Services.Experience working with Trading Systems.,"New York, NY",130000 - 150000 a year,,business analyst,year,140000.0,
213,Data Analyst,"Remex, Inc",The person selected for our data analyst position must have the requisite technical and communication skills.Load data files into ARM software.,"Princeton, NJ 08540",18 - 23 an hour,Part-time,data analyst,hour,,20.5
214,Business Analyst IT CEX Crewmember Prod,JetBlue Airways Corporation,Ensure that approved requirements are developed in sufficient scope and detail to result in the delivery of a solution that meets customer needs as they…,"Hybrid remote in Long Island City, NY 11101",68000 - 112000 a year,,business analyst,year,90000.0,
215,Senior Data Engineer & Analyst,Life House Hotels,"Perform data profiling and analysis.Develop data ingestion modules that will feed the AI models.Design, build, and productionize complex data pipelines.","Remote in New York, NY",90000 - 150000 a year,,engineer,year,120000.0,
216,DATA ANALYST,The Fidelis Group,"DATA ANALYST (Little Ferry, NJ) - Develop automated business review reports to assist with business decisions; retail analytics; Develop omni-channel marketing…","Little Ferry, NJ 07643",NaN,,data analyst,,,
217,Business Analyst I - Hybrid,Maxis Clinical Sciences,"This person will be responsible for the digital transformation initiative in IT, delivering updates and communication for end-users throughout the organization.","Remote in Ridgefield, CT 06877",30 - 34 an hour,Contract,business analyst,hour,,32.0
218,Business Analyst I - With Healthcare Experience,Lincoln IT,"3-5 years in QA fro information systems, technical writing, or equivalent position.An individual with strong analytical aptitude, capable of understanding data…","New York, NY",30 - 40 an hour,,business analyst,hour,,35.0
219,Data Analyst,SDG Group,"Some knowledge of BI technologies, data modeling, data management.Development of data transformation processes.Data structure analysis and data model design.","Hybrid remote in Bedminster, NJ 07921",NaN,Full-time,data analyst,,,
220,Senior Analyst-Business Intelligence,Verizon,Familiarity with data visualization software.Analyzing data and communicating insights and metrics with key partners.Data Analysis and Insights experience.,"Remote in Basking Ridge, NJ",70000 - 129000 a year,Full-time,analyst,year,99500.0,
221,Business Analyst,Pryon,Focus on enabling Operations and Shared Services Leaders to make data driven decisions.Experience with AI / LLM technologies and understanding the data behind…,"Hybrid remote in Westport, CT",NaN,Full-time,business analyst,,,
222,PERFORMANCE DATA SENIOR ANALYST,NYC Careers,"Experience in performance reporting, data visualization, and data analysis - Strong knowledge of MS Office products, particularly Excel - Knowledge of data…","Manhattan, NY",62470 - 71840 a year,Full-time,analyst,year,67155.0,
223,Senior Business Analyst - Data Migration,Treliant LLC,Demonstrated ability to navigate uncertainty and independently dig into data to understand data architecture.Detail-focused – very strong attention to detail.,"New York, NY",157500 - 232500 a year,Full-time,business analyst,year,195000.0,
224,10101 - Quantitative Data Analyst,The Fund for Public Health in New York City,Work with internal and external partners to identify and resolve data discrepancies and issues with data reporting systems.Generous Paid Time Off (PTO) policy.,"New York, NY",60000 - 75000 a year,Full-time,data analyst,year,67500.0,
225,"Lead Data Analyst, Digital Process & Performance",National Grid,Knowledge of data management and visualization techniques.Substantial knowledge and experience with MS Excel in merging data from different sources.,"Hybrid remote in Brooklyn, NY",125000 - 147000 a year,,data analyst,year,136000.0,
226,IT Business Analyst,LogicPro,Evaluate and draw conclusions from data related to customer behavior.Design and execute A/B testing procedures to extract data from test runs.,"Princeton, NJ",Estimated 90800 - 115000 a year,,it business analyst,year,102900.0,
227,Systems Business Analyst,Practising Law Institute,"2-5 years of relevant experience as a Business Analyst.Proficiency with Excel (including Pivot tables, vlookups, etc) & SQL for analysis & data transformation…","Hybrid remote in New York, NY",110000 - 115000 a year,,business analyst,year,112500.0,
228,Junior Business Analyst - Locals to NJ,Trilyon Services Inc,"If you are a detail-oriented individual with excellent problem-solving skills and a passion for leveraging data to drive business decisions, we want to hear…","Hybrid remote in Berkeley Heights, NJ",30.66 - 36.92 an hour,Contract,business analyst,hour,,33.79
229,ENVIRONMENTAL ANALYST,Suffolk County,"Thorough knowledge of the principles, methods and techniques of compiling, organizing and interpreting scientific data to determine the impact of alterations of…","Hauppauge, NY 11788",48442 a year,Full-time,analyst,year,48442.0,
230,Research Data Analyst,Intone Networks,Track and document systematic issues affecting data integrity.Perform regular data mining of records in the systems.,"Brooklyn, NY 11249 (Chelsea area)",,Contract,data analyst,,,
231,Jr Data Analyst,Veracity Software,"Passion for problem solving by gathering descriptive insights through data extraction , slicing and dicing the data.Hands on Experience in SSIS/SSRS.","Iselin, NJ 08830",Estimated 83300 - 105000 a year,,data analyst,year,94150.0,
232,10101 - Senior Clinical and Population Health Data Analyst,The Fund for Public Health in New York City,"Advise bureau staff on data quality assurance practices to maintain data integrity.Additionally, the analyst will use other EHR data sources, including the…","New York, NY",80000 - 90000 a year,Full-time,data analyst,year,85000.0,
233,Business Analyst III,Building Service 32BJ Benefit Funds,"Building Services 32BJ Benefit Funds is the umbrella organization responsible for administering Health, Pension, Retirement Savings, Training, and Legal…","New York, NY 10013 (Tribeca area)",110000 - 140000 a year,Full-time,business analyst,year,125000.0,
234,Contract Implementation Analyst,VNS Health,Assists in the development of reports and analyzes data to research/correct discrepancies.Assists in the configuration and maintenance of the claims system…,,63800 - 79800 a year,Full-time,analyst,year,71800.0,
235,"SIU Investigator, Analyst - remote",Oscar Health,"Experience with HIPAA, data privacy, and/or data security processes.Bachelor's degree in Criminal Justice or a related field, OR at least 3 years of insurance…","Remote in New York, NY",69120 - 90720 a year,,analyst,year,79920.0,
236,Staff Analyst Level 1 - Litigation Support,NYC Careers,"Collect and analyze data, identifying possible quality issues, and assist with developing and implementing processes to correct such issues, ensuring the…","Manhattan, NY",53797 - 73243 a year,Full-time,analyst,year,63520.0,
237,Business Analyst,Siuvo,"Experience in data analytics and data visualization.Posting Date: 08/15/2022.Acquiring, analyzing, and documenting an expert’s project requirements.","Princeton, NJ 08540",NaN,,business analyst,,,
238,"Analyst, Payroll & Timekeeping",NYC Careers,"A four year high school diploma or its educational equivalent plus four years of experience as described in ""2"" above; or.Posted on: 08/28/2023.","Manhattan, NY 10007 (Financial District area)",55000 - 65000 a year,Full-time,analyst,year,60000.0,
239,Business Analyst (Technical),"City Harvest, Inc.",Attention to detail is a must – this role requires thinking about how hundreds of data points across multiple internal and client-facing systems support our…,"Brooklyn, NY 11232 (Greenwood area)",58500 - 67300 a year,,business analyst,year,62900.0,
240,IT Business Analyst,LogicPro,Evaluate and draw conclusions from data related to customer behavior.Design and execute A/B testing procedures to extract data from test runs.,"Princeton, NJ",NaN,,it business analyst,,,
241,IT Sr. Business Analyst (ERP),Leaf Home,"Assist with data cleanup, conversions, import data, and data migration from legacy systems to NetSuite.3+ years of proven experience as a business systems…","New York, NY 10017 (Turtle Bay area)",85000 - 128000 a year,Full-time,business analyst,year,106500.0,
242,Emergency Management Business Continuity Analyst,Stony Brook University,Track and organize data and reports for quick reference.Generate and analyze data and produce reports/briefings relevant to continuity planning.,"Stony Brook, NY",70000 - 85000 a year,Full-time,analyst,year,77500.0,
243,RBAC Business Analyst,State Street,"We provide investment servicing, data & analytics, investment research & trading and investment management to institutional clients.Who we are looking for.","Jersey City, NJ 07310 (The Waterfront area)",90000 - 135000 a year,Full-time,business analyst,year,112500.0,
244,Axiom Business Analyst,Realign LLC,"4+ years’ experience writing Axiom mapping rules for 2052a and NSFR.4+ years’ experience with 2052a, NSFR.4+ years’ experience with SQL Server/Oracle database…","New York, NY",NaN,Contract,business analyst,,,
245,Business Analyst,BigIdea Technologies,"Minimum 3 years experience as a Business Analyst or Process Owner in Finance and Accounting, HR or ITO services;Project Location(s): Iselin, NJ, US.","Iselin, NJ 08830",NaN,,business analyst,,,
246,Manufacturing Analyst,Herbein + Company,"_This position requires the ability to work directly with the COO to provide data analysis, coordinate and attend virtual meetings (both domestic and…","South Plainfield, NJ",80000 - 110000 a year,Full-time,analyst,year,95000.0,
247,"Senior Analyst, Data Operations",Wyndham Hotels & Resorts,"Knowledge of data gathering, data warehousing, cleaning and transforming techniques.Ability to QA and troubleshoot data.We can’t wait to welcome you!","Parsippany, NJ 07054",NaN,Full-time,analyst,,,
