,Job title,Company name,Job description,Job location,Salary,Job type
289,Business Analyst,BigIdea Technologies,"Minimum 3 years experience as a Business Analyst or Process Owner in Finance and Accounting, HR or ITO services;Project Location(s): Iselin, NJ, US.","Iselin, NJ 08830",Pay information not provided,NaN
290,Manufacturing Analyst,Herbein + Company,"_This position requires the ability to work directly with the COO to provide data analysis, coordinate and attend virtual meetings (both domestic and…","South Plainfield, NJ","$80,000 - $110,000 a year",Full-time
291,"Senior Analyst, Data Operations",Wyndham Hotels & Resorts,"Knowledge of data gathering, data warehousing, cleaning and transforming techniques.Ability to QA and troubleshoot data.We can’t wait to welcome you!","Parsippany, NJ 07054",Pay information not provided,Full-time
292,ENVIRONMENTAL ANALYST,Suffolk County,"Analyzes data related to environmental impact studies, natural resource inventories and the monitoring of pollution in Suffolk County.","Hauppauge, NY 11788","$48,442 a year",Full-time
293,BI Analyst,Oncorre,"Be part of an amazing team of innovative technologists and creative thinkers.We look for people with excellent soft skills, brilliant minds and great…","Bridgewater, NJ 08807",Pay information not provided,NaN
294,Data Analyst,Wind Turbine and Energy Cables,"The responsibilities of a data analyst often include:MS Access: proficient with loading data, writing queries and manipulating data.","Hasbrouck Heights, NJ 07604",NaN,NaN
295,System Analyst,"Consolidated Edison Company of New York, Inc.","Building non-complex queries to collect and analyze data.Support the team in its overall objectives, including FDA solution delivery and fraud data analytics.","New York, NY 10003 (Gramercy area)","$80,000 - $100,000 a year",Full-time
296,"Sales Operations Analyst, GFS - Field Sales Ops","Amazon Web Services, Inc.","The right candidate will seek to improve sales productivity through complete, reliable and relevant data analyses.BS/BA degree or equivalent experience.","New York, NY","From $70,400 a year",Full-time
297,Junior Business Analyst/Data Analysts,TRESUME,"Includes expertise in data quality, data organization, metadata, and data profiling.Responsible for the design, development and administration of transactional…","Edison, NJ",$28 - $35 an hour,Full-time
298,Fashion Buyer/ Analyst,Yakira Bella,"Analyze data to note and take action on outlier data.Strong analytical skills to analyze internal data.Analyze data to replenish, consolidate and markdown…","Bogota, NJ 07603","$70,000 - $90,000 a year",Full-time
299,Revenue Operations Business Analyst,Hibob,"Communicate insights effectively to stakeholders using data visualization tools.Ability to document data models, business processes and visual workflows.","Hybrid remote in New York, NY","$100,000 - $120,000 a year",NaN
300,Business Analyst,Barrow Wise Consulting,The Business Analyst 1 will support Barrow Wise's NYC Department of Social Services project and perform the following duties:,"New York, NY 10004 (Financial District area)","$60,000 - $130,000 a year",Full-time
301,Senior Quality Data Analyst,NYC Health + Hospitals,Performs statistical analyses to identify data anomalies.Facilitates data exchanges between HEDIS vendor & MetroPlusHealth.Ensure accuracy of all reports.,"New York, NY",Full-time,NaN
302,Senior Data Analyst,Combined Insurance,"Analyze and test relational databases and investigate any data load failures or data retrieval issues.By joining Chubb as a Senior Data Analyst, you will…","Whitehouse Station, NJ",Estimated $67.9K - $85.9K a year,Full-time
303,Business Analyst (Healthcare experience),Techsara solutions,Client: IBX (Independence Blue Cross (IBX)*.Senior BAs/BSAs sits within PMO.Healthcare is a big plus.,"Jersey City, NJ 07302 (The Waterfront area)",$65 - $70 an hour,Contract
304,Data Analyst,Congensys Corp,Maintain data mappings and manage data/information traceability matrix.Need to have strong background in data modelling & data analysis who can participate on…,"Edison, NJ 08817",Estimated $95.4K - $121K a year,NaN
305,Business Analyst,New York County District Attorney's Office,3 - 5 years proven Information Technology experience.At least three (3) years of requirements gathering experience overseeing technical product development.,"New York, NY 10013 (Chinatown area)","$75,000 - $90,000 a year",Full-time
306,Senior Data Modeler/Senior Data Analyst,Alice and Olivia,Data Modeling: Develop and maintain complex data models that support our data warehouse and reporting needs.Strong SQL skills for data extraction and analysis.,"Secaucus, NJ 07094",Estimated $96.2K - $122K a year,Full-time
307,Data Analyst 1 (ITS),"Insurance Fund, State","Perform data extraction, aggregation, data quality checks.Two years of experience* in data visualization, and statistical models and data mining tools.","New York, NY 10007 (Tribeca area)","$63,108 - $80,248 a year",Full-time
308,Financial Data Analyst,Combined Insurance,Build your knowledge around data model and ETL process creation as you work to bring together data from different sources.,"Whitehouse Station, NJ",Full-time,NaN
309,Institutional Research Data Analyst,Drew University,"Impeccable attention to detail and commitment to data accuracy.Enthusiasm about data, the work of an Office of Institutional Research, and effective…","Madison, NJ 07940",NaN,NaN
310,Senior Analyst - Data & Analytics,Louis Dreyfus Company,5-8 years of proven experience in a business analyst type of role in IT projects implementation.Design and developments skills on data structure and data flow…,"Hybrid remote in Wilton, CT 06897",NaN,NaN
311,Business Intelligence Analyst,Bridging Access To Care Inc,"Assist with performing system audits and data analysis for accuracies, quality and compliance with government and agency regulations, policy and procedures;…","Brooklyn, NY 11226","$75,000 - $80,000 a year",Full-time
312,Staff Auditor/Analyst,"MTA Inspector General, Office of",Ability to gather and interpret high volumes of complex data.Analyzes data using a variety of software to identify risks.,"New York, NY 10001 (Garment District area)","$64,032 - $80,040 a year",Full-time
313,Business Intelligence Analyst II,Teachers Federal Credit Union,"Supports the department efforts to improve data mining.Knowledge of data science programming languages (R, Python or other) a plus.","Hauppauge, NY 11788","$79,500 - $105,000 a year",Full-time
314,Data Analyst,Asembia LLC,"Responsible for data aggregation from different data sources for report generation.Evaluate data and report findings for accuracy, completeness, scope; ability…","Florham Park, NJ 07932",NaN,NaN
315,"Financial Analyst, AVP - Hybrid (New York)",MUFG,Strong Excel skills to analyze data.Public accounting Big 4 background 1-3 Years.The selected colleague will work at an MUFG office or client sites up to four…,"Hybrid remote in New York, NY 10020","$95,000 - $115,000 a year",Full-time
316,Quality Data Analyst,"University Hospital, Newark NJ",Carries out data management responsibilities for clinical data that are needed to fulfill the organizational quality improvement plan and to meet regulatory…,"Newark, NJ 07103 (University Heights area)",Full-time,NaN
317,IT Analyst II - Solutions Development (ON SITE),NYU Langone,"In this role, the seasoned professional will provide advanced expertise in a complex professional discipline.Collect user requirements and translates them into…","New York, NY","$61,476 - $79,761 a year",Full-time
318,Business Process Analyst,Broadcom,Reporting and data visualization skills using software.Collaborate with team members to collect and analyze data.Process product master media and escrow.,"Melville, NY","$60,000 - $100,000 a year",Full-time
319,"Graduate Specialist Technology, Analytics & Research (STAR) Analyst (Available 2024)",Arup,"Familiarity with interpretation and quantitative analysis of weather and climate data, including an understanding of climate science, climate change models, and…","New York, NY","$74,000 - $81,000 a year",NaN
320,IT Data Analyst III,Horizon Blue Cross Blue Shield of New Jersey,Lead and provide direction to data analysts.Data analysts are experts with strong understanding of data structures and analysis.,"Newark, NJ 07105 (Ironbound area)",Full-time,NaN
321,"Business Analyst, Global Strategic Partnerships (6 month contract)",Taboola,Pulling simple and complex data queries to assist in business analysis and upsells.Generating actionable recommendations and optimizations based on data driven…,"Hybrid remote in New York, NY",Contract,NaN
322,Information Technology (IT) Solutions Analyst,Hackensack Meridian Health,"Analyze data to inform business decisions.Minimum of 3 years of proven business analyst experience with a focus on project intake, resource estimation, demand…","Edison, NJ 08837",Full-time,NaN
323,Senior Data Strategist,Direct Agents,Apply rigorous data preprocessing techniques to ensure data quality and integrity for accurate analysis outcomes.Hybrid work schedule of 3 days in-office.,"Hybrid remote in New York, NY 10010","$90,000 - $145,000 a year",Full-time
324,Transit Management Analyst Series (Capital Programs Subways),Metropolitan Transportation Authority,"Duties also may include support of the capital reimbursable process; review and ascertain appropriate level of TA support and project budgets, support the 5…","New York, NY 10004 (Financial District area)",Pay information not provided,Full-time
325,"CVP, Senior Data Analyst - HYBRID",Inclusively,"Provide subject matter expertise to junior and senior analysts regarding data visualization, SQL,R and Python.Masters + 3 years or Bachelors + 7 years.","Remote in New York, NY","$132,500 - $197,500 a year",Full-time
326,Actuarial Data Analyst,Horizon Blue Cross Blue Shield of New Jersey,"Requires knowledge of data analysis, Actuarial principles, and understanding interdependencies among data.Collaborate with Actuaries to build and improve on…","Newark, NJ 07105 (Ironbound area)","$93,000 - $127,050 a year",Full-time
327,Systems Analyst Advisor - Data Management,Elevance Health,Facilitates communications on overall data strategy and data governance program.Reviews and recommends initiatives that reduce data risks and data management…,"Hybrid remote in Iselin, NJ 08830",Pay information not provided,Full-time
328,Business Analyst - IMWM,Accenture Federal Services,"1-3 Years SAP IMWM/ EWM experience.Develops analysis of system design in coordination with designers, architects, developers, and business analysts.","Hybrid remote in Picatinny Arsenal, NJ",Pay information not provided,NaN
329,Guidewire Data Analyst,NLB Technology Services,10 + years of data analysis experience extracting OLTP data specifically for a data warehouse.The Data Analyst is a hands-on position focused on defining the…,"Purchase, NY 10577","$110,000 - $120,000 a year",Full-time
330,Data Analyst 1 (ITS),"Insurance Fund, State","Perform data extraction, aggregation, data quality checks.Two years of experience* in data visualization, and statistical models and data mining tools.","New York, NY 10007 (Tribeca area)","$63,108 - $80,248 a year",Full-time
331,Senior Business Analyst,Colsh Consultants,"The Senior Business Analyst collaborates with organizational stakeholders and senior management to establish and implement processes that enhance efficiency,…","Newark, NJ",Pay information not provided,NaN
332,Compensation & Sales Commission Senior Analyst,Cartier,Strong data visualization skills: ability to analyze data for strategic insights and develop materials that showcase data that summarizes performance for…,"New York, NY 10019 (Midtown area)","$108,000 - $130,000 a year",NaN
333,Data Analyst,Vensit,"Building and managing databases and data systems and reorganizing data in a usable fashion.Perform data cleaning, correct coding errors, and deal with related…","Sayreville, NJ 08872",Pay information not provided,NaN
334,Business Analyst,Long Finch Technologies,Mobile applications: 5 years (Required).Role: Business Analyst with mobile development exp.Mandatory Skills: BA with Mobile experience..,"Parsippany, NJ 07054","$120,000 - $125,000 a year",Full-time
335,Business Analyst (Technical),"City Harvest, Inc.",Attention to detail is a must – this role requires thinking about how hundreds of data points across multiple internal and client-facing systems support our…,"Brooklyn, NY 11232 (Greenwood area)","$58,500 - $67,300 a year",NaN
336,Business Analyst (Hybrid),Benjamin Moore,"Knowledge of relational databases, data warehousing, business intelligence and CRM tools helpful.Strong process orientation with significant attention to…","Montvale, NJ 07645",Pay information not provided,NaN
337,Senior Tolls Business/Data Analyst,AtkinsRéalis,"Uses a variety of tools to perform analysis of toll system transaction data, including investigating anomalies and issues as identified.","New York, NY","$85,000 - $140,000 a year",Full-time
338,Business Analyst,Rhode Island Blood Center,Utilize advanced data analysis techniques to extract insights from complex data sets related to blood operations.,"Hybrid remote in New York, NY 10065","$66,000 - $93,750 a year",Full-time
339,"Senior Analyst, Digital Marketing Analytics",CMI Media Group,Collaborate with data analytics team to ensure data is being collected from both client and suppliers for objectives and KPI’s.,"Parsippany, NJ 07054",Estimated $80.2K - $102K a year,NaN
340,"Senior, Business Analyst",Deloitte,"Strong knowledge of data analytics.Collaborating with tax SMEs, business analysts, and application developers to ensure a shared understanding of the business…","New York, NY",Estimated $105K - $133K a year,Full-time
341,Sr. Data Analyst - Vault,Cognizant Technology Solutions,"Quality Check of loaded data.Initial creation and transformation of loader sheets for data load,.Provide input sheets and co-ordinate for data enrichment by…","Summit, NJ 07901",Estimated $93.3K - $118K a year,Full-time
342,"Behavioral Analyst - BCBA, LBA",Vibrant ABA,Design & Analyze data-driven behavior intervention plans.Excellent attention to detail & strong organizational skills.,"Hybrid remote in Manhattan, NY",$100 - $120 an hour,Full-time+2
343,Business Analysis Team Leader - Technical Training Services,PSEG,The Business Analysis Team Leader will play a key strategic role in leading and identifying opportunities to streamline and measure the UOS Technical Training…,"Hybrid remote in Edison, NJ 08837","$90,800 - $149,800 a year",NaN
344,Staff Product Operations Engineer,ZT Systems,"5+ years of relevant experience in data analysis and or project management preferred.The Staff Product Operations Engineer role is a key player, along with…","Secaucus, NJ",Estimated $112K - $141K a year,Full-time
345,Board Certified Behavior Analyst (BCBA),"ASun Star Consulting, Inc.",Must have manual dexterity to perform specific computer and electronic device functions for data collection.Apply and manage ongoing data collection system to…,"East Rutherford, NJ 07073",$60 - $85 an hour,NaN
346,Lead Business Analyst - Vault,Cognizant Technology Solutions,"Your expertise in business analysis and Veeva Vault will be instrumental and driving efficiency, compliance, and data management within the organization.","Summit, NJ 07901",Estimated $98K - $124K a year,Full-time
347,Pricing Analyst (SAP) - 0155,infosoft,Strong analytical skills and data management experience.Help develop internal and external price data reporting (e.g. long-time not priced products and SAP…,"Bridgewater, NJ 08807",$20 - $22 an hour,Full-time+1
348,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Estimated $90K - $114K a year,Full-time+1
349,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172","$114,000 - $185,000 a year",Full-time
350,Behavior Analyst (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Middlesex, NJ","$78,000 - $91,000 a year",Full-time
351,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.","Whippany, NJ 07981",NaN,NaN
352,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
353,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ","$78,000 - $91,000 a year",Full-time
354,Senior Data Analyst,Chubb,"Identify data sources, gather and interpret data, address data quality issues, perform analysis, and synthesize findings for executive stakeholders.","Whitehouse Station, NJ","$102,000 - $168,000 a year",Full-time
355,Lead Utility Business Analyst,Ericsson,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…","Remote in Bethpage, NY","$79,800 - $131,700 a year",Full-time
356,Business Intelligence Analyst,Bridging Access To Care Inc,"Assist with performing system audits and data analysis for accuracies, quality and compliance with government and agency regulations, policy and procedures;…","Brooklyn, NY 11226","$75,000 - $80,000 a year",Full-time
357,Senior Business Analyst,Princeton University,5-7 years of Business Analyst experience.Standard Weekly Hours: 36.25 Eligible for Overtime: No Benefits Eligible: Yes Probationary Period: 180 days Essential…,"Princeton, NJ 08542",Full-time,36.25 hours per week
358,Business Analyst_Parsippany,Photon,The Business Analyst role will function as a key contributor in our organization and will be responsible for supporting multiple cross functional Agile teams.,"Troy Hills, NJ",Full-time,NaN
359,"Senior Business Intelligence Developer (Senior Consultant MIS- Level B), Data Sciences and Support",NYC Health + Hospitals,"Knowledgeable in data visualization best practices and data mining and analysis tools.Five (5) years of progressive, responsible experience in the field of…","New York, NY",Full-time,Minimum of 20 hours per week
360,Data Protection and Governance Senior Analyst,TikTok,"Demonstrate ability to quickly assimilate to new knowledge and remain current on new developments in data sovereignty, data regionalization and data privacy.","New York, NY","$100,000 - $157,000 a year",NaN
361,Data Analyst & Community Engagement Coordinator,City of Jersey City,"Responsible for research and data gathering of national, regional, and local affordable housing data points.Conducts ACS data research as needed.","Jersey City, NJ 07305 (Bergen-Lafayette area)","$60,000 - $63,000 a year",Full-time
362,Marketing Data Analyst,COSCO SHIPPING (North America) Inc.,This role is data focused to help our sales team make informed decisions.Responsible for collect external market information and intelligence from various…,"Secaucus, NJ","$50,000 - $60,000 a year",Full-time
363,"Senior IT Business Analyst, Research IT",Bristol Myers Squibb,Any data processed in connection with role applications will be treated in accordance with applicable data privacy policies and regulations.,"Princeton, NJ 08540",NaN,NaN
364,"Business Analyst, Global Strategic Partnerships (6 month contract)",Taboola,Pulling simple and complex data queries to assist in business analysis and upsells.Generating actionable recommendations and optimizations based on data driven…,"Hybrid remote in New York, NY",Contract,NaN
365,Business Analyst (Healthcare experience),Techsara solutions,Client: IBX (Independence Blue Cross (IBX)*.Senior BAs/BSAs sits within PMO.Healthcare is a big plus.,"Jersey City, NJ 07302 (The Waterfront area)",$65 - $70 an hour,Contract
366,Senior Data and Insights Business Unit Analyst,Johnson & Johnson,Monitor and measure compensation plan effectiveness through statistical analysis using data sources and systems.Sales Compensation Design/Quota Allocation.,"Raritan, NJ",NaN,NaN
367,"Global Sales Analytics, Business Analyst",Facebook App,Demonstrated problem-solving experience with experience driving and delivering action based on data-driven insights and recommendations from data analyses.,"New York, NY","$123,000 - $178,000 a year",NaN
368,Business Analyst with DNA or Lending experience,"Fiserv, Inc.","3 to 5 years of business experience within the Banking and/or Credit Union industries...specifically in the areas of Loan Servicing, Loan Operations or Loan…","Berkeley Heights, NJ 07922",Full-time,NaN
369,Computer Scientist/Data Analyst,CACI,"Knowledge of data analytics, data mining, and algorithm concepts.We are currently seeking a highly motivated entry-level computer scientist / data analyst to…","Picatinny Arsenal, NJ 07806",Pay information not provided,Full-time
370,Lead Utility Business Analyst,Ericsson,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…","Remote in Bethpage, NY","$79,800 - $131,700 a year",Full-time
371,Medical Economics Analyst,Horizon Blue Cross Blue Shield of New Jersey,"Requires technical skills with database concepts, data analysis development, data warehousing, and data extraction tools (ex. SQL).","Newark, NJ 07105 (Ironbound area)","$83,000 - $113,295 a year",Full-time
372,Business Analyst,Core Specialty,Experience using data analysis tools such as Excel and Business Intelligence software is preferred.Proficiency in data analysis tools such as Excel and…,"Morristown, NJ",Estimated $75K - $95K a year,Full-time
373,Senior Data Visualization Designer,Annalect,"Experience working with data visualizations, data concepts, business intelligence and/or ad tech.Experience in creating strong data stories.","New York, NY 11211 (Williamsburg area)","$105,000 - $150,000 a year",NaN
374,Actuarial Data Analyst,Horizon Blue Cross Blue Shield of New Jersey,"Requires knowledge of data analysis, Actuarial principles, and understanding interdependencies among data.Collaborate with Actuaries to build and improve on…","Newark, NJ 07105 (Ironbound area)","$93,000 - $127,050 a year",Full-time
375,Business Analyst II,Claims Solutions,"Claims data reporting experience preferred.Basic data analysis skills preferred.This includes focusing on data analysis, problem solving, product design,…","Jersey City, NJ",Estimated $76.6K - $97.1K a year,Full-time
376,Business analyst(No H1B),"IT Engagements,Inc.","5-10 years of relevant experience in systems analysis.Business analysis: 5 years (Preferred).Job: Business analyst(No H1B, OPT)*.Pay: Up to $50.00 per hour.","New York, NY 11215 (Park Slope area)",Up to $50 an hour,Contract
377,Data Analyst,Audigent,"Experience: 3-5 years of experience in data analysis, reporting, or a similar role, preferably at a media agency.","New York, NY","$75,000 - $85,000 a year",NaN
378,Business Analyst,Rhode Island Blood Center,Utilize advanced data analysis techniques to extract insights from complex data sets related to blood operations.,"Hybrid remote in New York, NY 10065","$66,000 - $93,750 a year",Full-time
379,Medical Economics Analyst,HealthFirst,"Experience with SAS and/or SQL where you have created queries, pulled large data sets and performed data manipulations/analysis.","New York, NY 10007 (Tribeca area)",Estimated $70.3K - $89K a year,Full-time
380,Senior Data Analyst,NJII,"Experience working with large data sets from multiple data sources and understanding of relational databases, data systems and data warehouses, to include data…","Newark, NJ 07103 (University Heights area)",Estimated $98.2K - $124K a year,Full-time
381,Healthcare Data Analyst,Scalable Systems,Lead and provide direction to data analysts.The Data Analyst III leads other data analysts on projects to ensure the development of a plan for and adequate…,"Piscataway, NJ",Pay information not provided,NaN
382,EDI Analyst,Allstar Innovations,Minimum of 5 years combined experience project management and EDI business analysis.The successful candidate possesses an understanding of EDI processes and…,"Hawthorne, NY 10532",Estimated $91.1K - $115K a year,NaN
383,Business Analyst,TechCoreGlobal,Business analysis: 8 years (Required).,"Whippany, NJ","$113,063 - $124,819 a year",Contract
384,Business Analyst,SoHo Dragon,"5-7 years’ work experience with IT or process engineering.Experience as a business analyst working with Collateral Management applications, ideally AcadiaSoft…","Hybrid remote in Iselin, NJ 08830",Pay information not provided,NaN
385,Clinical Analytics Analyst IV-3,Horizon Blue Cross Blue Shield of New Jersey,This position requires sound data analytic programming skills with robust knowledge and understanding of the healthcare business and data.,"Newark, NJ 07105 (Ironbound area)","$117,100 - $159,810 a year",Full-time
386,Logistics Warehouse Analyst,Gellert Global Group,"3 - 5 years in international logistics, warehouse customer service and/or order processing.This is a high volume role that requires significant attention to…","Paramus, NJ",Pay information not provided,Full-time
387,Quality -Data Analyst,Katalyst Healthcares & Life Sciences,"Proficient in Excel data mining and report creation.Must have knowledge of data trending and tracking, including use of statistical analysis software a plus.","Summit, NJ",Pay information not provided,Contract
388,Supply Chain Customer Collaboration Senior Analyst,Colgate-Palmolive,Is responsible for ensuring correct master data and understanding and compliance of vendor programs.Builds strong relationships with our customers and…,"Hybrid remote in Piscataway, NJ 08854","$79,200 - $116,550 a year",Full-time
389,Sr. Business Analyst,"Fiserv, Inc.",This is a key role focused on championing and establishing product requirements and ensuring that the organization is prepared for new products and product…,"Berkeley Heights, NJ 07922",Pay information not provided,Full-time
390,"Senior Reporting & Data Analyst, Personal Risk Services",Combined Insurance,"Minimum 3 years business intelligence / data mining experience.Govern data and reporting capabilities, validate production sources, and drive testing…","Whitehouse Station, NJ",Pay information not provided,Full-time
391,Business Analyst_Parsippany,Photon,The Business Analyst role will function as a key contributor in our organization and will be responsible for supporting multiple cross functional Agile teams.,"Troy Hills, NJ",Pay information not provided,Full-time
392,Music Royalty Analyst,Gelfand Rennert & Feldman,"Analyze data to find underpayments of royalties and create claim schedules.Founded in 1967, Gelfand, Rennert & Feldman (""GRF"") is a leading full-service…","Hybrid remote in Manhattan, NY 10010","$57,333 - $62,436 a year",Full-time
393,Senior Business Analyst – Middle Markets,XL Catlin,"Ability to work with data and complex systems.Must be detail conscious, technically motivated, creative, and user oriented.","Stamford, CT 06901 (Downtown area)","$95,000 - $186,500 a year",Full-time
394,Retirement Business Analyst,Luzon Technologies,We are looking for a Business Analyst with experience in Insurance specifically in the retirement domain.Work from home not available Travel not required.,"Piscataway, NJ",Pay information not provided,Contract
395,Senior Business Analyst (Active Health Plans),Church Pension Group Services Corporation,"The Senior Business Analyst (Active Health Plans) is responsible for a wide range of functions that relate to the implementation, administration, and…","New York, NY 10016 (Gramercy area)","$101,800 - $132,300 a year",Full-time
396,"Global Sales Analytics, Business Analyst",Facebook App,Demonstrated problem-solving experience with experience driving and delivering action based on data-driven insights and recommendations from data analyses.,"New York, NY","$123,000 - $178,000 a year",NaN
397,Logistics Warehouse Analyst,Atalanta Corporation,"3 - 5 years in international logistics, warehouse customer service and/or order processing.This is a high volume role that requires significant attention to…","Paramus, NJ",Pay information not provided,Full-time
398,Direct Materials Risk Analyst,Johnson & Johnson,The ability to develop data and leverage metrics and analytics to generate insights for continuous improvement is required.,"Bridgewater, NJ","$61,000 - $85,000 a year",NaN
399,Centura Business Analyst,GalaxE.Solutions,Gather business requirements and solutions from the design stage to delivery.Manage multiple projects and effectively communicate status updates with Project…,"Remote in Somerset, NJ 08873",NaN,NaN
400,Financial Analyst (FT),RWJBarnabas Health,"Analyzes data for opportunities and elevates findings to advance to management through written narratives and data analytics,.","Oceanport, NJ 07757",Full-time,NaN
401,KM Research/BI Analyst,Master Search Solutions,Minimum 5 years’ experience in a law firm library or corporate law library.Use concise visuals to make large quantities of data easily understood.,"West Orange, NJ 07052",NaN,NaN
402,"Database Analyst, Sr.","Fiserv, Inc.",Participate in determining efficient ETL data load strategy along with product architects.Provide data volume projections and database size estimate for any…,"Berkeley Heights, NJ 07922",Full-time,NaN
403,Technical Business Analyst,"Woongjin, Inc","Requires a bachelor's degree and at least 2-5 years of consulting experience or in a related area.The Technical Business Analyst, (BA), will be responsible for…","Ridgefield Park, NJ",Contract,NaN
404,Business Analyst Retirement,Infocodec Solutions,"Identify and translate business needs into clearly defined requirements, and create documentation inclusive of business use cases, process flows, data flows etc…","Piscataway, NJ 08854","$74,164 - $125,079 a year",Contract
405,"Junior Business Analyst (Hybrid - Murray Hill, NJ)",Stage 4 Solutions Inc,"This is a 40-hour-per-week, 5-month contract (possibility of extensions).In this role, you will participate in the elicitation, documentation, analysis, and…","Hybrid remote in Murray Hill, NJ",$22.00 - $26.50 an hour,Contract
406,"Business Analyst, Guidewire",Westfield Insurance,"Guidewire certified ACE business analyst.Technical proficiency, with the ability to understand data flows and the flow between complex, integrated systems.","Berkeley Heights, NJ",NaN,NaN
407,Insurance Operations Business Analyst,Aspen Insurance Holdings,"Ability to analyze data and use for decision-making.Understand interfaces/data flows across systems, to flag downstream impacts.","Jersey City, NJ",Full-time,NaN
408,Music Royalty Analyst,Gelfand Rennert & Feldman,"Analyze data to find underpayments of royalties and create claim schedules.Founded in 1967, Gelfand, Rennert & Feldman (""GRF"") is a leading full-service…","Hybrid remote in Manhattan, NY 10010","$57,333 - $62,436 a year",Full-time
409,Supply Chain Customer Collaboration Senior Analyst,Colgate-Palmolive,Is responsible for ensuring correct master data and understanding and compliance of vendor programs.Builds strong relationships with our customers and…,"Hybrid remote in Piscataway, NJ 08854","$79,200 - $116,550 a year",Full-time
410,Logistics Warehouse Analyst,Gellert Global Group,"3 - 5 years in international logistics, warehouse customer service and/or order processing.This is a high volume role that requires significant attention to…","Paramus, NJ",Full-time,NaN
411,"Data Analyst, Clinical Operations",VNS Health,Coordinates and performs data quality exploration and validation on new data sources.Experience with large data sets and/or the analysis of member/patient…,"Manhattan, NY","$77,200 - $96,500 a year",Full-time
412,10+ Yrs in Technical Business Analyst with finance-NewYork (Hybrid)(Only w2,Lethya Group Inc,"- Knowledge of trades data, positions data, reference data.*.50%- data analysis, rest Project management: 5 years (Preferred).","New York, NY 11215 (Park Slope area)",$50 - $55 an hour,Contract
413,IT Business Analyst- MMA National,Marsh McLennan Agency,5 to 8 years’ experience of analyzing business problems and designing successful solutions.You will identify date elements and provide data mappings &…,"Remote in White Plains, NY 10601","$65,790 - $115,290 a year",Full-time
414,Insurance Operations Business Analyst,Aspen Insurance Holdings,"Ability to analyze data and use for decision-making.Understand interfaces/data flows across systems, to flag downstream impacts.","Jersey City, NJ",Pay information not provided,Full-time
415,"Senior Analyst, Procurement Operations (HHS/Non-Construction)",NYC Careers,Senior Analysts may conduct all duties relevant to analysts in their assigned division and demonstrate an advanced level of expertise.,"Manhattan, NY 10007 (Financial District area)","$58,700 - $65,000 a year",Full-time
416,Business Analyst with DNA or Lending experience,"Fiserv, Inc.","3 to 5 years of business experience within the Banking and/or Credit Union industries...specifically in the areas of Loan Servicing, Loan Operations or Loan…","Berkeley Heights, NJ 07922",Pay information not provided,Full-time
417,Revenue Cycle Analyst,Stamford Health,"Maintains fee schedule and RVU data in the practice management system.Performs data analysis, report writing and presentation of findings to management.","Stamford, CT",Pay information not provided,Full-time
418,RPA Business Analyst,USI Holdings Corporation,"3-5 years IT and/or systems experience.Manage system conversion activities including data mapping, system configuration, data analysis.","Remote in Valhalla, NY","$70,000 - $85,000 a year",NaN
419,"Financial Analyst, CTS",Hackensack Meridian Health,"Proficient with querying and manipulating data, preparing business plans and completing and reporting on data analyses.Must be willing to roll up sleeves.","Edison, NJ 08837",Pay information not provided,Full-time
420,Data Analytics Lead,V2Soft,"Analyst: This means they aren't just ETL, data movement focused, but are practiced in the principles behind business analytics and can help to design and build…","Princeton, NJ 08540",From $40 an hour,Full-time
421,Business Analyst,"Everest Re Group, Ltd.","Collaborate with other business analysts, align on, and assist in execution of strategic / enterprise deliverables.Proficiency with MS Office Suite.","Warren, NJ","$80,000 - $115,000 a year",Full-time
422,Pricing Analyst,ASSA ABLOY,"Minimum of 3 years of analysis experience.Collect, clean, and analyze data to evaluate market conditions and identify opportunities to improve profitability…","Hackensack, NJ",Pay information not provided,NaN
423,Business Process Analyst,Yusen Logistics,Review and analyze data and information concerning IFF Operations.5 years’ experience as a supervisor or manager in a broker or forwarder operation.,"Springfield Gardens, NY 11413","$50,824 - $84,425 a year",Full-time
